0,16614
1,158802
2,9218
3,16562
4,157343
5,147761
6,152500
7,149688
8,137865
9,56146
10,192083
11,160000
12,64687
13,23073
14,156042
15,150989
16,10469
17,119636
18,9583
19,149375
20,9010
21,118698
22,145260
23,150104
24,140885
25,154844
26,144323
27,85156
28,38438
29,9062
30,147447
31,9322
32,135364
33,10105
34,146511
35,150469
36,142396
37,73750
38,14844
39,9532
40,142292
41,9062
42,157500
43,144167
44,143594
45,9636
46,112292
47,9740
48,9531
49,125261
50,139688
51,154583
52,147239
53,153802
54,150781
55,9740
56,114584
57,36667
58,173282
59,136771
60,149479
61,156510
62,13177
63,9114
64,156302
65,150573
66,148386
67,141667
68,15833
69,126250
70,15781
71,126406
72,16094
73,125312
74,151042
75,8958
76,118437
77,55104
78,199115
79,149687
80,149271
81,9167
82,151302
83,141563
84,155417
85,136406
86,13437
87,148229
88,151041
89,150677
90,13803
91,148230
92,148802
93,9271
94,148958
95,149062
96,155677
97,153854
98,149584
99,9062
100,119167
101,9271
102,151667
103,160156
104,153125
105,146042
106,8958
107,122396
108,68698
109,22396
110,154948
111,147604
112,9218
113,154218
114,9479
115,151563
116,139427
117,153750
118,152343
119,151250
120,154635
121,153386
122,152864
123,163958
124,9271
125,148594
126,153229
127,150105
128,9427
129,148125
130,149062
131,135208
132,9115
133,164583
134,157500
135,9063
136,117396
137,150208
138,150312
139,9167
140,117604
141,143854
142,149636
143,148437
144,144531
145,17031
146,124948
147,151146
148,9271
149,152969
150,149895
151,150000
152,144739
153,9844
154,155052
155,154062
156,133802
157,149531
158,9636
159,121823
160,146198
161,147447
162,156667
163,9375
164,146771
165,9167
166,9271
167,135052
168,9115
169,139011
170,9219
171,120573
172,60834
173,24010
174,155729
175,151823
176,153021
177,56510
178,9375
179,132135
180,17447
181,130208
182,153386
183,135052
184,12917
185,124167
186,52292
187,13281
188,155417
189,9323
190,9063
191,159271
192,150677
193,154427
194,153072
195,155313
196,9062
197,149739
198,9010
199,130937
200,150104
201,9271
202,118855
203,9010
204,121979
205,67395
206,9479
207,133229
208,17084
209,153542
210,148490
211,9167
212,15886
213,150625
214,9010
215,8958
216,144583
217,9011
218,9010
219,150104
220,9115
221,157396
222,9166
223,15885
224,149166
225,8958
226,148802
227,9115
228,137032
229,8854
230,9166
231,8959
232,134011
233,9010
234,15989
235,149739
236,149219
237,9218
238,152135
239,50260
240,9114
241,139947
242,9219
243,119219
244,9114
245,129479
246,8959
247,111094
248,64635
249,19896
250,153437
251,148177
252,16146
253,142292
254,15834
255,141667
256,16250
257,140677
258,147605
259,9063
260,139844
261,135521
262,140000
263,147500
264,141719
265,146666
266,140156
267,8907
268,141354
269,9010
270,142083
271,9166
272,139427
273,139895
274,141146
275,102083
276,64791
277,20833
278,158177
279,9115
280,112969
281,65990
282,19948
283,151927
284,9115
285,139479
286,138698
287,141198
288,146354
289,16041
290,142291
291,140573
292,47396
293,8750
294,143906
295,8906
296,141718
297,141511
298,140365
299,9114
300,140937
301,147657
302,98958
303,55938
304,28177
305,157917
306,139427
307,8959
308,141615
309,133125
310,140937
311,9114
312,139375
313,144375
314,142084
315,9115
316,137604
317,143437
318,147604
319,15833
320,141458
321,142448
322,132187
323,141406
324,146718
325,16146
326,142605
327,142865
328,139739
329,9062
330,140729
331,146562
332,141875
333,9114
334,9219
335,133958
336,139792
337,8959
338,140990
339,132240
340,141146
341,8958
342,141510
343,140521
344,8854
345,139948
346,147031
347,14843
348,140312
349,138854
350,8854
351,141615
352,135157
353,141823
354,147292
355,15885
356,126510
357,140104
358,9011
359,144584
360,147083
361,15938
362,144063
363,140625
364,8958
365,131875
366,141458
367,9062
368,142447
369,133333
370,15677
371,9114
372,140156
373,140052
374,140000
375,134791
376,140625
377,9323
378,139740
379,141771
380,142813
381,9166
382,135260
383,143281
384,98698
385,65989
